Sex,Smoker,Q13,Q14,Q15,Q16,Q17,Q18
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Disagree,Disagree,Disagree,Agree,Disagree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Neutral
F,Smoker,Agree,Disagree,Disagree,Neutral,Neutral,Disagree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Neutral
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Neutral,Agree,Agree,Neutral
F,Smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Smoker,Agree,Neutral,Agree,Neutral,Agree,Agree
M,Non-smoker,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Disagree
M,Non-smoker,Agree,Agree,Neutral,Agree,Agree,Disagree
F,Smoker,Neutral,Disagree,Neutral,Agree,Neutral,Agree
F,Smoker,Agree,Disagree,Agree,Agree,Agree,Disagree
M,Smoker,Agree,Agree,Disagree,Disagree,Neutral,Neutral
M,Non-smoker,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree
F,Non-smoker,Agree,Agree,Neutral,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Disagree
F,Non-smoker,Neutral,Disagree,Neutral,Neutral,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Neutral
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Neutral
M,Smoker,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral
F,Non-smoker,Agree,Agree,Neutral,Agree,Agree,Disagree
F,Non-smoker,Agree,Neutral,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Disagree,Disagree
M,Non-smoker,Disagree,Neutral,Neutral,Agree,Agree,Disagree
F,Non-smoker,Agree,Neutral,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Neutral,Neutral,Neutral,Disagree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Disagree
M,Smoker,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
M,Smoker,Agree,Neutral,Agree,Agree,Agree,Disagree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Neutral,Agree,Agree,Neutral,Disagree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Disagree,Agree,Neutral,Neutral,Agree
F,Smoker,Agree,Neutral,Agree,Agree,Neutral,Disagree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Disagree,Disagree,Disagree,Agree,Neutral,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Disagree,Neutral,Agree,Disagree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Disagree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Neutral
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Disagree
F,Non-smoker,Agree,Agree,Disagree,Agree,Agree,Agree
F,Non-smoker,Agree,Neutral,Agree,Agree,Agree,Disagree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Neutral
M,Smoker,Agree,Agree,Agree,Disagree,Neutral,Disagree
M,Smoker,Neutral,Neutral,Neutral,Disagree,Disagree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Disagree
M,Smoker,Agree,Agree,Agree,Neutral,Agree,Disagree
F,Smoker,Agree,Disagree,Agree,Agree,Neutral,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Smoker,Agree,Disagree,Disagree,Disagree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Disagree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Neutral,Neutral,Neutral,Agree,Disagree
M,Non-smoker,Agree,Neutral,Agree,Agree,Agree,Neutral
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Smoker,Agree,Disagree,Agree,Disagree,Disagree,Disagree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Neutral
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Neutral,Agree,Agree,Agree,Disagree
F,Smoker,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Neutral,Disagree,Neutral,Neutral,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Neutral,Agree,Agree,Disagree
F,Smoker,Agree,Neutral,Disagree,Neutral,Neutral,Disagree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Disagree
F,Smoker,Disagree,Agree,Agree,Agree,Neutral,Agree
F,Smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Neutral
F,Non-smoker,Agree,Agree,Neutral,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Neutral
M,Smoker,Neutral,Neutral,Agree,Agree,Neutral,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Smoker,Agree,Agree,Agree,Agree,Agree,Neutral
M,Smoker,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
F,Smoker,Agree,Agree,Neutral,Agree,Agree,Neutral
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Smoker,Agree,Agree,Agree,Agree,Agree,Agree
M,Non-smoker,Agree,Agree,Agree,Agree,Agree,Agree
F,Smoker,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree
F,Non-smoker,Agree,Agree,Agree,Agree,Agree,Disagree
M,Smoker,Agree,Neutral,Agree,Agree,Disagree,Disagree
F,Smoker,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral
M,Smoker,Agree,Agree,Agree,Agree,Agree,Neutral
M,Smoker,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral
